iteration,valid_l1,train_l1
1,0.9930207827205046,0.9848878675648868
2,0.9735828386908825,0.9652004650514929
3,0.9541000144922305,0.9455041633083389
4,0.9349623768863581,0.9260248898128934
5,0.9158203969860754,0.9066883297547115
6,0.897121712542962,0.887575466647134
7,0.8784789345363029,0.8685653631049717
8,0.859730977555052,0.8497043835391755
9,0.8410524053230278,0.8311175724399289
10,0.8231492762406045,0.8126990091481409
11,0.8057032447485275,0.7946514284071579
12,0.7883349887150016,0.7770900535897955
13,0.7713061360249656,0.7594626167455347
14,0.7545574016564731,0.742135806772523
15,0.7387120835443665,0.7250919157694988
16,0.7229453195443759,0.7083881822538955
17,0.7060906566488416,0.6920190903802037
18,0.6897018079998354,0.6762081284189274
19,0.6736776785304035,0.6605300002385411
20,0.6580766716420676,0.6452331386279149
21,0.6430823550300042,0.6302487531377943
22,0.6278191447158123,0.6156156208759653
23,0.6135422551423273,0.6014322630946716
24,0.5996983705239224,0.5875752167673162
25,0.5861480509960841,0.5741173247479197
26,0.5729150806259161,0.5609391111999488
27,0.5599140512057164,0.5480732172602293
28,0.5477362105440743,0.5355266885613156
29,0.5366871681556905,0.5233299150596169
30,0.5259559279186974,0.511488079931692
31,0.5155677598641911,0.500029772789922
32,0.505629917047031,0.4889189606213637
33,0.4945824339708405,0.47810385884724926
34,0.4853150140334932,0.46762074349859434
35,0.4765258021106725,0.4575285642135191
36,0.46662957493925206,0.4477646090548151
37,0.458663012808543,0.43824217050826964
38,0.45080295588582014,0.4289894484270616
39,0.4437981424169777,0.4200080298238359
40,0.4372402504036581,0.41137289380092856
41,0.4303987817594104,0.4030595687002095
42,0.4243229827185013,0.39495137962543037
43,0.4183902483185089,0.38705204717862135
44,0.41231716890756726,0.3794977529659877
45,0.40684181784178075,0.37222522400104546
46,0.4004510832867771,0.365313466583093
47,0.39551866315398,0.358480826265287
48,0.3906848529188771,0.35189868591865314
49,0.3857265816475868,0.34560561018760033
50,0.3814377436144571,0.33944241679517195
51,0.3771368565069774,0.3335824298447505
52,0.3731835074818901,0.32787716160029756
53,0.36827971699385015,0.32246612455970386
54,0.36427305079585875,0.31732393508723017
55,0.3605644858439427,0.31228754208763093
56,0.3569021587417515,0.30746340718355974
57,0.3527458384600417,0.3028074928207777
58,0.348915615605647,0.2982704866073611
59,0.34607288768994726,0.2939043532965339
60,0.3430951411817019,0.2897812509107817
61,0.34032713513186047,0.28578355138891287
62,0.3369503244233832,0.2818542897199282
63,0.3344894708694551,0.27808953753931986
64,0.3323009186177635,0.27450345679918126
65,0.33023301446924824,0.27097005949674374
66,0.32854706838086584,0.267573809615098
67,0.3259026175986296,0.26425773693921045
68,0.3240217891315107,0.26111933196128395
69,0.3217241745925535,0.2580947458152892
70,0.31978316460382883,0.25526992247545427
71,0.31835440963155365,0.2525722024111294
72,0.31692967116579424,0.24990566964292107
73,0.3157511204080582,0.24729550390807759
74,0.31439784844255947,0.24484238225653493
75,0.3127038617932585,0.24247791484431228
76,0.31147419596016884,0.24019968885649187
77,0.3103550263069151,0.2379787485722242
78,0.30942915745424243,0.2357708699367566
79,0.3084322797232897,0.23371938111100826
80,0.30754263709681506,0.23178663944679345
81,0.3066262511986732,0.22992240407343648
82,0.305436068687467,0.2281093655003961
83,0.3047817619143402,0.22641852196298598
84,0.30394541129923236,0.22473970690433492
85,0.3031921963624832,0.2230688124510734
86,0.30250650432612053,0.22147043985326192
87,0.30174532833422146,0.21999665303978744
88,0.3011045288817423,0.21851418814559154
89,0.30053054573136934,0.21718966661193342
90,0.29998679362393366,0.2159095774646751
91,0.29949289118612843,0.21455589346034615
92,0.29922225201500113,0.21329491935949935
93,0.29884221943370093,0.21213283219315632
94,0.29844506403122195,0.21101913854414855
95,0.2980937113279148,0.209930354052465
96,0.2976986540450172,0.20890244706531735
97,0.2973265466152095,0.20786750534363252
98,0.29706708000910154,0.2068997240337131
99,0.29685441824040537,0.20594021471740284
100,0.29631788762688527,0.20500594570804107
101,0.2958268809495132,0.20406240996253902
102,0.295555084638735,0.20321671941716285
103,0.29541878506799013,0.20240283505701567
104,0.2950871201670114,0.2015755147260585
105,0.29493688409256563,0.20078661166186207
106,0.29447751034603964,0.199985621836067
107,0.29423527001652233,0.19923999246985144
108,0.293953885658236,0.19852369975662543
109,0.2936944889318494,0.19774616388884383
110,0.2933957168383226,0.1970310978440902
111,0.29320172039295495,0.1963352463793414
112,0.29293556643050606,0.19556120192454624
113,0.2927845036627348,0.19486593987985207
114,0.29251041691770546,0.19424136900746786
115,0.2923553781025819,0.1936069220263618
116,0.2921380469143454,0.19293506553094936
117,0.29171292916504155,0.19232217601782667
118,0.29155676020477855,0.1917295536093439
119,0.29155014022620995,0.1911114963968061
120,0.2913233529971093,0.1904339110422174
121,0.2912145556316728,0.1898414975553115
122,0.29085453735342554,0.18926309215293113
123,0.2906687742106437,0.18873975619177683
124,0.29050709013657655,0.18822525423695083
125,0.290396768721184,0.1877216259100948
126,0.29018717365978763,0.18723517075489476
127,0.29005270816078416,0.18672755122563997
128,0.2898329903753263,0.1862343109750827
129,0.2895544787744067,0.18571500976481375
130,0.2893010777370704,0.18521880014095596
131,0.28900232392587705,0.18476381693812158
132,0.28906415490955045,0.1843068321566842
133,0.28891706099167686,0.1837944090180226
134,0.288767551192313,0.1833423903766207
135,0.28871809425231154,0.18291137274614097
